Date,Open,High,Low,Close*,Adj Close**,Volume
10/12/21,83.61,84.23,82.72,83.42,83.42,47351
10/11/21,82.59,84.6,82.56,83.65,83.65,46216
10/08/21,82.39,83.43,81.96,82.39,82.39,48729
10/07/21,80.8,82.5,79.08,81.95,81.95,43830
10/06/21,82.66,83.44,80.59,81.08,81.08,41389
10/05/21,81.28,83.11,81.2,82.56,82.56,44439
10/04/21,79.36,82,78.76,81.26,81.26,43286
10/01/21,78.41,79.41,77.57,79.28,79.28,31697
09/30/21,78.33,79.16,77.64,78.52,78.52,51076
09/29/21,78.25,79.41,77.53,78.64,78.64,8319
09/28/21,79.42,80.74,78.08,79.09,79.09,21656
09/27/21,78.23,79.88,78.21,79.53,79.53,20799
09/24/21,77.18,78.25,76.87,78.09,78.09,20417
09/23/21,75.87,77.34,75.6,77.25,77.25,26832
09/22/21,74.61,76.26,74.51,76.19,76.19,26605
09/21/21,74.23,75.17,73.25,74.36,74.36,25140
09/20/21,75.39,75.39,73.51,73.92,73.92,28251
09/17/21,75.01,75.78,74.58,75.34,75.34,26771
09/16/21,75.46,75.86,74.48,75.67,75.67,27363
09/15/21,73.84,76.13,73.78,75.46,75.46,35197
09/14/21,73.73,74.27,73.08,73.6,73.6,27690
09/13/21,73.05,73.93,72.7,73.51,73.51,26510
09/10/21,71.31,73.14,70.96,72.92,72.92,26654
09/09/21,72.62,73.19,70.89,71.45,71.45,35106
09/08/21,71.58,72.95,71.56,72.6,72.6,31671
09/07/21,72.69,72.77,71.1,71.69,71.69,35294
09/03/21,72.81,73.7,72.4,72.61,72.61,27095
09/02/21,71.24,73.46,70.92,73.03,73.03,30185
09/01/21,71.7,72.37,70.41,71.59,71.59,32339
08/31/21,73.03,73.49,72.91,72.99,72.99,28933
08/30/21,73.59,73.7,71.99,73.41,73.41,3291
08/27/21,71.42,72.74,71.16,72.7,72.7,13316
08/26/21,71.84,72.13,70.68,71.07,71.07,24373
08/25/21,71.13,72.41,70.51,72.25,72.25,32345
08/24/21,68.68,71.3,68.52,71.05,71.05,38685
08/23/21,65.18,68.91,64.83,68.75,68.75,29582
08/20/21,66.6,66.92,64.8,65.18,65.18,27104
08/19/21,67.42,67.65,65.56,66.45,66.45,35816
08/18/21,69.01,70.04,67.22,68.23,68.23,34264
08/17/21,69.65,70.01,68.82,69.03,69.03,29163
08/16/21,70.22,70.4,68.14,69.51,69.51,33537
08/13/21,71.12,71.39,70,70.59,70.59,26874
08/12/21,71.58,71.89,70.68,71.31,71.31,22952
08/11/21,70.91,71.63,69.07,71.44,71.44,34214
08/10/21,69.29,71.23,68.97,70.63,70.63,30525
08/09/21,70.06,70.06,67.61,69.04,69.04,42738
08/06/21,71.26,72.43,70.28,70.7,70.7,35762
08/05/21,70.25,71.5,69.75,71.29,71.29,32444
08/04/21,72.33,72.82,70.12,70.38,70.38,44616
08/03/21,73.23,73.53,71.04,72.41,72.41,41458
08/02/21,75.18,75.33,72.31,72.89,72.89,38106
07/30/21,75.8,76.39,75.51,76.33,76.33,27919
07/29/21,74.81,76.14,74.63,76.05,76.05,9158
07/28/21,74.66,75.31,74.44,74.74,74.74,20863
07/27/21,74.79,75.05,74.02,74.48,74.48,26028
07/26/21,74.17,74.83,72.75,74.5,74.5,31628
07/23/21,73.71,74.21,73.33,74.1,74.1,23724
07/22/21,72.1,73.9,71.75,73.79,73.79,34425
07/21/21,68.74,72.36,68.64,72.23,72.23,43341
07/20/21,68.76,69.73,67.42,69.35,69.35,43067
07/19/21,73,73.29,67.85,68.62,68.62,58659
07/16/21,73.26,74.07,72.34,73.59,73.59,33536
07/15/21,74.55,74.64,73.16,73.47,73.47,41748
07/14/21,76.4,76.71,73.76,74.76,74.76,49772
07/13/21,75.23,76.61,74.96,76.49,76.49,32219
07/12/21,75.64,75.84,74.24,75.16,75.16,32255
07/09/21,74.36,75.79,73.82,75.55,75.55,31967
07/08/21,73.47,74.39,72.1,74.12,74.12,42366
07/07/21,74.96,75.99,72.59,73.43,73.43,51166
07/06/21,76.09,77.83,74.12,74.53,74.53,58679
07/02/21,75.59,76.43,75.23,76.17,76.17,31167
07/01/21,74.7,76.75,74.55,75.84,75.84,52210
06/30/21,75.14,75.6,74.54,75.13,75.13,33596
06/29/21,74.6,75.51,73.91,74.76,74.76,4089
06/28/21,76.16,76.59,74.52,74.68,74.68,27711
06/25/21,75.61,76.21,74.95,76.18,76.18,31417
06/24/21,75.37,75.77,74.52,75.56,75.56,26664
06/23/21,74.76,76,74.73,75.19,75.19,32883
06/22/21,74.81,75.29,74.34,74.81,74.81,39381
06/21/21,73.33,74.95,72.98,74.9,74.9,38734
06/18/21,73.07,73.75,72.18,73.51,73.51,26417
06/17/21,73.98,74.49,72,73.08,73.08,42085
06/16/21,74.3,74.96,73.89,74.39,74.39,42294
06/15/21,73.1,74.33,72.78,73.99,73.99,32191
06/14/21,72.49,73.64,72.49,72.86,72.86,25816
06/11/21,72.39,73.08,71.88,72.69,72.69,36538
06/10/21,72.09,72.92,70.95,72.52,72.52,37080
06/09/21,72.14,72.88,71.82,72.22,72.22,31013
06/08/21,71.39,72.41,70.72,72.22,72.22,29742
06/07/21,71.7,72.26,71.1,71.49,71.49,21019
06/04/21,71.35,72.17,70.76,71.89,71.89,24006
06/03/21,71.27,71.98,70.66,71.31,71.31,25178
06/02/21,70.56,71.49,70.37,71.35,71.35,22202
06/01/21,69.63,69.63,69.63,69.63,69.63,39925
05/28/21,69.62,69.83,69.42,69.63,69.63,861
05/27/21,68.88,69.51,68.11,69.46,69.46,6546
05/26/21,68.63,69.16,68.03,68.87,68.87,21097
05/25/21,68.39,68.89,67.84,68.65,68.65,20377
05/24/21,66.64,68.64,66.47,68.46,68.46,29400
05/21/21,65.04,66.94,64.56,66.44,66.44,33829
05/20/21,66.73,67.15,64.79,65.11,65.11,35448
05/19/21,68.58,68.6,65.29,66.66,66.66,42607
05/18/21,69.53,70.24,67.28,68.71,68.71,43138
05/17/21,68.86,69.63,68.2,69.46,69.46,26662
05/14/21,67.01,68.86,66.5,68.71,68.71,31042
05/13/21,69.02,69.02,66.47,67.05,67.05,38726
05/12/21,68.72,69.9,68.19,69.32,69.32,31702
05/11/21,68.24,68.75,67.13,68.55,68.55,40504
05/10/21,68.62,70.26,67.41,68.32,68.32,31833
05/07/21,68.29,68.61,67.38,68.28,68.28,29163
05/06/21,68.57,69.37,67.93,68.09,68.09,25171
05/05/21,69.5,69.96,68.34,68.96,68.96,32004
05/04/21,-,-,-,-,-,-
05/03/21,67.29,67.29,67.29,67.29,67.29,27613
04/30/21,68.32,68.32,67.15,67.25,67.25,1136
04/29/21,67.04,68.95,67.04,68.56,68.56,10592
04/28/21,66.66,67.86,66.16,67.27,67.27,24119
04/27/21,65.77,66.8,65.7,66.42,66.42,33604
04/26/21,66.02,66.25,64.57,65.65,65.65,27250
04/23/21,65.62,66.31,65.17,66.11,66.11,22397
04/22/21,65.11,65.84,64.58,65.4,65.4,26722
04/21/21,66.36,66.52,64.96,65.32,65.32,32764
04/20/21,67.12,68.08,65.5,66.57,66.57,40194
04/19/21,66.69,67.23,66.19,67.05,67.05,19740
04/16/21,66.86,67.38,66.45,66.77,66.77,24035
04/15/21,66.35,67.03,65.96,66.94,66.94,23442
04/14/21,64.01,66.9,63.89,66.58,66.58,35988
04/13/21,63.24,64.18,63.23,63.67,63.67,26957
04/12/21,63.02,64.31,62.41,63.28,63.28,36366
04/09/21,63.29,63.46,62.57,62.95,62.95,29073
04/08/21,62.98,63.42,62.38,63.2,63.2,32283
04/07/21,62.68,63.52,61.6,63.16,63.16,42225
04/06/21,62.3,64.27,62.08,62.74,62.74,44319
04/05/21,64.81,64.81,61.24,62.15,62.15,37285
04/01/21,63.6,63.6,63.6,63.6,63.6,66715
03/31/21,64.48,64.69,63.54,63.54,63.54,257
03/30/21,65.31,65.65,63.64,64.14,64.14,4695
03/29/21,64.04,65.45,63.14,64.98,64.98,18231
03/26/21,61.74,64.88,61.74,64.57,64.57,23364
03/25/21,64.15,64.15,60.98,61.95,61.95,27894
03/24/21,60.35,64.56,60.34,64.41,64.41,36451
03/23/21,64.31,64.34,60.26,60.79,60.79,43200
03/21/21,64.66,65.07,63.45,64.62,64.62,29644
03/19/21,62.83,64.9,62.08,64.53,64.53,54241
03/18/21,67.93,68.15,61.42,63.28,63.28,61688
03/17/21,68.39,68.88,66.96,68,68,37607
03/16/21,68.86,68.96,67.36,68.39,68.39,27321
03/15/21,69.12,70.02,67.83,68.88,68.88,30212
03/12/21,69.59,69.9,69.03,69.22,69.22,27364
