Date,Open,High,Low,Close,Adj Close,Volume
2022-07-04,0.018531,0.018531,0.017798,0.018784,0.018784,0
2022-07-05,0.018349,0.018349,0.015285,0.018349,0.018349,0
2022-07-06,0.016676,0.016676,0.014598,0.015757,0.015757,0
2022-07-07,0.015744,0.015926,0.015676,0.015744,0.015744,0
2022-07-08,0.015863,0.016410,0.015658,0.015863,0.015863,0
2022-07-11,0.015882,0.016423,0.015882,0.015417,0.015417,0
2022-07-12,0.016415,0.017126,0.016179,0.016415,0.016415,0
2022-07-13,0.017126,0.017170,0.016923,0.017126,0.017126,0
2022-07-14,0.017112,0.017244,0.016873,0.017112,0.017112,0
2022-07-15,0.017170,0.017532,0.016959,0.017170,0.017170,0
2022-07-18,0.017555,0.017781,0.017215,0.009036,0.009036,0
2022-07-19,0.017327,0.018185,0.017327,0.017327,0.017327,0
2022-07-20,0.017710,0.018319,0.017567,0.017710,0.017710,0
2022-07-21,0.017868,0.018235,0.017010,0.018193,0.018193,0
2022-07-22,0.017252,0.017828,0.016888,0.017252,0.017252,0
2022-07-25,0.017215,0.017516,0.017031,0.017215,0.017215,0
2022-07-26,0.017104,0.017304,0.016376,0.017104,0.017104,0
2022-07-27,0.016642,0.016852,0.016406,0.016642,0.016642,0
2022-07-28,0.016852,0.016880,0.015945,0.016852,0.016852,0
2022-07-29,0.016009,0.016518,0.015664,0.016009,0.016009,0
2022-08-01,0.016073,0.016526,0.015835,0.016073,0.016073,0
2022-08-02,0.016620,0.016821,0.016450,0.016620,0.016620,0
2022-08-03,0.016518,0.016697,0.016169,0.016450,0.016450,0
2022-08-04,0.016240,0.016669,0.016240,0.015953,0.015953,0
2022-08-05,0.016607,0.016642,0.016303,0.016269,0.016269,0
2022-08-08,0.016532,0.016697,0.016232,0.016532,0.016532,0
2022-08-09,0.016171,0.016669,0.016171,0.016171,0.016171,0
2022-08-10,0.016545,0.016614,0.016204,0.016545,0.016545,0
2022-08-11,0.016269,0.016559,0.016269,0.016269,0.016269,0
2022-08-12,0.016504,0.016532,0.016210,0.016504,0.016504,0
2022-08-15,0.016073,0.016504,0.016073,0.016073,0.016073,0
2022-08-16,0.016269,0.016511,0.016217,0.016529,0.016529,0
2022-08-17,0.016269,0.016587,0.016269,0.016269,0.016269,0
2022-08-18,0.016538,0.016838,0.016430,0.016538,0.016538,0
2022-08-19,0.016676,0.017073,0.016676,0.016676,0.016676,0
2022-08-22,0.016817,0.016966,0.016590,0.016817,0.016817,0
2022-08-23,0.016642,0.016781,0.016551,0.016642,0.016642,0
2022-08-24,0.016607,0.016725,0.016580,0.016607,0.016607,0
2022-08-25,0.016725,0.016810,0.016484,0.016725,0.016725,0
2022-08-26,0.016573,0.016767,0.016418,0.016573,0.016573,0
2022-08-29,0.016593,0.016593,0.015995,0.016593,0.016593,0
2022-08-30,0.016204,0.016524,0.016204,0.016204,0.016204,0
2022-08-31,0.016676,0.016746,0.016498,0.016676,0.016676,0
2022-09-01,0.016642,0.016656,0.016437,0.016642,0.016642,0
2022-09-02,0.016618,0.016642,0.016463,0.016618,0.016618,0
2022-09-05,0.016618,0.016618,0.016269,0.016618,0.016618,0
2022-09-06,0.016400,0.016491,0.016168,0.016400,0.016400,0
2022-09-07,0.016329,0.016488,0.016269,0.016329,0.016329,0
2022-09-08,0.016013,0.016477,0.016013,0.015561,0.015561,0
2022-09-09,0.016269,0.016621,0.016269,0.016269,0.016269,0
2022-09-12,0.016081,0.016662,0.016081,0.016081,0.016081,0
2022-09-13,0.016929,0.016697,0.016476,0.016771,0.016771,0
2022-09-14,0.016817,0.016817,0.016615,0.017094,0.017094,0
2022-09-15,0.016753,0.016795,0.016649,0.016753,0.016753,0
2022-09-16,0.016781,0.016781,0.016484,0.016781,0.016781,0
2022-09-19,0.015780,0.016656,0.015780,0.016807,0.016807,0
2022-09-20,0.016656,0.016697,0.016366,0.016656,0.016656,0
2022-09-21,0.016447,0.016559,0.016015,0.016556,0.016556,0
2022-09-22,0.016243,0.016880,0.016243,0.016243,0.016243,0
2022-09-23,0.016269,0.017734,0.016269,0.016269,0.016269,0
2022-09-26,0.017478,0.017478,0.016995,0.017478,0.017478,0
2022-09-27,0.017104,0.017244,0.016834,0.017104,0.017104,0
2022-09-28,0.016988,0.017365,0.016959,0.016988,0.016988,0
2022-09-29,0.017282,0.017486,0.017046,0.017119,0.017119,0
2022-09-30,0.017402,0.017702,0.016316,0.017402,0.017402,0
2022-10-03,0.016607,0.017486,0.016607,0.016607,0.016607,0
2022-10-04,0.017244,0.017244,0.016817,0.017244,0.017244,0
